Razão Social;Nome de Pregão;Código
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;ECON;ERDV
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;ECORODOVIAS;ECOR
ECTE - EMPRESA CATARINENSE DE TRANSMISSAO DE ENERG;ECTESA;ECTE
EDITORA ATICA S.A.;ATICA;EDAT
EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;EDUCACIONAL;EDED
EDITORA SANAR S.A.;ED.SANARS.A.;ESAN
EDITORA SCIPIONE S.A.;SCIPIONE;EDSC
EDP - ENERGIAS DO BRASIL S.A.;ENERGIAS BR;ENBR
EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.;ESCELSA;ESCE
EDP PEQUENAS CENTRAIS HIDROELETRICAS S. A.;EDPCENTRAIS;EDQP
EDP RENOVAVEIS BRASIL S/A;EDPRENOVAVEI;EDPR
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;EBE;EBEN
EDP TRANSMISSAO ALIANCA SC S.A.;EDPALIANCASC;EDPA
EDP TRANSMISSAO S.A.;EDPTRANSMISS;EDPT
EDP TRANSMISSAO SP-MG S/A;EDPMG;MGSP
EDTE - EMPRESA DIAMANTINA DE TRANSMISSAO DE ENERGI;DIAMANTINA;EDTE
EDUCAMAIS PARTICIPACOES SA;EDUCAMAIS;EDCM
EIXO SP CONCESSIONARIA DE RODOVIAS S.A.;RODPIRA-PANO;CONR
ELECTRA POWER GERACAO DE ENERGIA S.A.;ELECTRA;ELPW
ELECTRO ACO ALTONA S.A.;ACO ALTONA;EALT
ELEJOR - CENTRAIS ELETRICAS DO RIO JORDAO S.A.;ELEJOR;ELJO
ELEKTRO REDES S.A.;ELEKTRO;EKTR
ELEMIDIA CONSULTORIA E SERVICOS DE MARKETING S.A;ELEMIDIA;ECSM
ELETRICIDADE DO BRASIL S/A - EBRASIL;EBRASIL;EBRA
ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;ELETROPAR;LIPR
ELETROMIDIA S.A.;ELETROMIDIA;ELMD
ELETROPAULO METROP. ELET. SAO PAULO S.A.;ELETROPAULO;ELPL
ELETRORIVER S.A.;ELETRORIVERS;ELRV
ELETROZEMA S.A.;ELETROZEMA;ELZM
ELEVA EDUCAÇÃO S.A.;ELEVA EDUCAC;EEDS
ELFA MEDICAMENTOS SA;ELFAMED;ELFA
ELOG S.A.;ELOG;ELOG
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;EMAE;EMAE
EMBPAR PARTICIPACOES S.A.;EMBPAR S/A;EPAR
EMBRAER S.A.;EMBRAER;EMBR
EMERGÊNCIA PARTICIPAÇÕES S.A.;EMERGENCIA P;EMGP
EMPREENDIMENTOS PAGUE MENOS S.A.;PAGUE MENOS;PGMN
EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA S.A.;EATE;EATE
EMPRESA BRASILEIRA DE AGREGADOS MINERAIS S/A;EBAM;EBAG
EMPRESA BRASILEIRA DE ENGENHARIA E COMERCIO S/A EB;EBEC;EBEC
EMPRESA CONC RODOV DO SUL S.A. - ECOSUL;ECOSUL;ECOS
EMPRESA DE ENERGIA CACHOEIRA CALDEIRAO S.A.;CALDEIRAO;CADR
EMPRESA DE ENERGIA SAO MANOEL S.A.;SAOMANUEL;ESAM
EMPRESA DE TRANSMISSAO DE VARZEA GRANDE S.A. - ETV;VARZEAGRANDE;ETVG
EMPRESA DE TRANSMISSAO DO ALTO URUGUAI S.A.;ALTOURUGUAI;ETAU
EMPRESA DE TRANSMISSAO DO ESPIRITO SANTO S.A. - ET;ETES;ETES
EMPRESA NORTE DE TRANSMISSAO DE ENERGIA S.A;EMPRESANORTE;ENTE
EMPRESA PARAENSE DE TRANSMISSAO DE ENERGIA S/A;EMPRPARAENSE;ETEP
EMPRESA SUDESTE DE TRANSMISSÃO DE ENERGIA S.A.;SUDESTETRANS;EPSD
EMS S.A.;EMS;EMSA
ENAUTA PARTICIPAÇÕES S.A.;ENAUTA PART;ENAT
ENC ENERGY BRASIL PARTICIPAÇÕES S.A.;ENC ENERGY B;ENBP
ENEL BRASIL INVESTIMENTOS SUDESTE S.A.;ENELSUDESTE;ENLS
ENEL BRASIL S.A;ENELBRASIL;ENEL
ENEL GREEN POWER BOM JESUS DA LAPA SOLAR S/A;ENELLAPA;EGBJ
ENEL GREEN POWER CRISTALANDIA I EOLICA S/A;ENELCRISTEOL;EGCL
ENEL GREEN POWER CRISTALANDIA II EOLICA S/A;ENELCRISTII;EGII
ENEL GREEN POWER DAMASCENA EOLICA S.A.;ENELGREEN;ENDE
ENEL GREEN POWER MANICOBA EOLICA SA;ENELEOLICA;EGME
ENEL GREEN POWER NOVA LAPA S/A;ENELNOVALAPA;EGNL
ENEL GREEN POWER NOVA OLINDA B SOLAR S/A;ENELNOVAOLIN;EGPN
ENEL GREEN POWER NOVA OLINDA C SOLAR S/A;ENELCSOLAR;EGCS
ENEL GREEN POWER NOVA OLINDA NORTE SOLAR S/A;ENELOLINORTE;EGNS
ENEL GREEN POWER NOVA OLINDA SUL SOLAR S/A;ENELSULSOLAR;EGNO
ENEL GREEN POWER VOLTA GRANDE S.A;ENELVOLTA;EGVG
ENERGEST S.A.;ENERGEST;ENGT
ENERGETICA SAO PATRICIO S/A;SAOPATRICIO;EGSP
ENERGIA DOS VENTOS I S.A.;VENTOSI;ENVE
ENERGIA DOS VENTOS II S.A;VENTOSII;ENTS
ENERGIA DOS VENTOS III S.A;VENTOSIII;ERVT
ENERGIA DOS VENTOS IV S.A.;ENERGIAVENTO;EGVE
ENERGIA DOS VENTOS X S.A.;VENTOSX;ERVE
ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ENERGISAACRE;CEAC
ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.;ENERSUL;ENER
ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;ENERGISA MT;ENMT
ENERGISA NOVA FRIBURGO DISTRIBUIDORA DE ENERGIA SA;ENERGISA NF;CENF
ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S/A;ELE RONDONIA;CERO
ENERGISA S.A.;ENERGISA;ENGI
ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.;ENERG SUL SU;ESSD
ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S/A;ENERTOCANTIN;CTNS
ENERPEIXE S.A.;ENERPEIXE;ENPX
ENEVA S.A;ENEVA;ENEV
ENGIE BRASIL ENERGIA S.A.;ENGIE BRASIL;EGIE
ENGIE SOLUÇÕES CIDADES INTELIGENTES INFRAEST UBERL;ENGIEUBERLAN;EUBE
ENGIE TRANSMISSAO DE ENERGIA PARTICIPACOES S/A;ENGIE TRANSM;EGIT
ENJOEI S.A.;ENJOEI;ENJU
ENOPS ENGENHARIA S/A;ENOPSENGENHA;ENOP
ENOVA FOODS S/A;ENOVA;CSDC
ENSEADA DO SUÁ PARTICIPAÇÕES S.A.;ENSEADA DO S;ENDS
ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;ENVIRONMENT;EESG
EOL BRISA ENERGIAS RENOVAVEIS S.A.;EOLBRISA;EOLB
EOL MARAL I SPE S.A.;EOL MARAL I;EOMI
EOL MARAL II SPE S.A.;EOL MARAL II;EOII
EOL VENTO ENERGIAS RENOVAVEIS S.A.;EOLVENTO;EOLV
EOL WIND ENERGIAS RENOVAVEIS S.A.;EOLWIND;EOLW
EOLICA CABECO VERMELHO II S/A;EOLICAVERMEL;VMII
EOLICA CABECO VERMELHO S/A;EOLICAVERMEL;ELVM
EOLICA LAGOA NOVA S/A;EOLICALAGOA;LANO
EOLICA LANCHINHA S/A;EOLICALAN;LCNH
EOLICA PARAISO S.A.;EOLICAPARAIS;PASO
EOLICA PEDRA RAJADA II SA.;PEDRARAJADAI;PJII
EOLICA PEDRA RAJADA SA.;PEDRARAJADA;ECRJ
EOLICA SERRA DAS VACAS HOLDING S.A.;EOLICAVACAS;EOVC
EOLICA SERRA DAS VACAS HOLDING II S/A;SERRADASVACA;ESVH
EOLICA SERRA DAS VACAS I S.A.;SERRADASVACA;ELVC
EOLICA SERRA DAS VACAS II S.A.;VACASII;ELVA
EOLICA SERRA DAS VACAS III S.A.;EOLICAVACASI;ELVS
EOLICA SERRA DAS VACAS IV S.A.;SERRADASVACA;ELVV
EOLICA SERRA DAS VACAS V S.A.;VACASV;ESVV
EOLICA SERRA DAS VACAS VII S.A.;EOLICAVACAVI;EVII
EOLICA SERRA DE SANTANA S.A.;EOLICASERRAS;SSTN
EQS ENGENHARIA S.A.;EQS ENGENHAR;EQSE
EQUATORIAL ENERGIA S.A.;EQUATORIAL;EQTL
EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;EQTLMARANHAO;EQMA
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQTL PARA;EQPA
EQUATORIAL TRANSMISSÃO S.A.;EQUATORIALTR;EQUA
EQUATORIAL TRANSMISSORA 1 SPE S.A.;EQUATORIAL 1;EQTS
EQUATORIAL TRANSMISSORA 2 SPE S.A.;EQUATORIAL 2;EQTN
EQUATORIAL TRANSMISSORA 3 SPE S.A.;EQUATORIAL 3;EQSP
EQUATORIAL TRANSMISSORA 5 SPE S.A.;EQUATORIAL5;EQTC
EREN DRACENA PARTICIPAÇÕES S.A.;EREN DRACENA;EREN
ESPERANZA TRANSMISSORA DE ENERGIA S.A..;ESPERANZA;SPRZ
ESTALEIRO ATLANTICO SUL S/A;ESTALEIROSUL;EATL
ESTRE AMBIENTAL S.A.;ESTREAMBIENT;ETRE
ESTRELA MINEIRA CREDITO FINANCIAMENTO E INVESTIMEN;ESTRELACFI;MCFI
ETAP EMPRESA TRANSMISSORA AGRESTE POTIGUAR S.A.;ETAPPOTIGUAR;ETAP
ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.;ETB - TRANSM;ETBA
ETC ¿ EMPRESA TRANSMISSORA CAPIXABA S. A.;ETCCAPIXABA;CPXB
ETC PARTICIPACOES S.A.;ETC;ETCP
ETERNIT S.A.;ETERNIT;ETER
EUCATEX S.A. INDUSTRIA E COMERCIO;EUCATEX;EUCA
EVEN CONSTRUTORA E INCORPORADORA S.A.;EVEN;EVEN
EVOLTZ IV - SÃO MATEUS TRANSMISSORA DE ENERGIA S.A;EVOLTZ IV;EVOL
EVOLTZ PARTICIPACOES S/A;EVOLTZ PART;EVLZ
EXCELSIOR ALIMENTOS S.A.;EXCELSIOR;BAUH
EXPANSION TRANSMISSAO DE ENERGIA ELETRICA SA;EXPANSION;EXTE
EXTO INCORPORACOES E EMPREEND. IMOBILIARIOS S.A;EXTOINCORPOR;EXEI
EXTREMOZ TRANSMISSORA DO NORDESTE ¿ ETN S.A.;EXTREMOZ;EXTZ
EZ TEC EMPREEND. E PARTICIPACOES S.A.;EZTEC;EZTC
F.AB. ZONA OESTE S.A.;FABZOSA;FABZ
FABRIMAR S/A INDUSTRIA E COMERCIO;FABRIMARS.A.;FAMR
FACTA FINANCEIRA S/A CFI;FACTACFI;FCTA
FAGUNDES CONSTRUÇÃO E MINERAÇÃO LTDA.;FAGUNDES CON;FCMN
FARO ENERGY I COMERCIO E LOCACAO DE PROJETOS S.A.;FARO ENERGY;FACL
FARTURA AGROPECUARIA S.A.;FARTURA AGRO;FRTR
FAS PARTICIPAÇÕES LTDA.;FAS PARTICIP;FASP
FAST SHOP S.A.;FASTSHOP S;FSHO
FAT EMPREENDIMENTOS E PARTICIPACOES S/A;FATPART;FATE
FEENIX4T PARTICIPACOES S.A.;FEENIX;FEEN
FERRARI AGROINDUSTRIA S/A;FERRARI AGRO;FRAG
FERREIRA GOMES ENERGIA S.A.;FGENERGIA;FGEN
FERROVIA CENTRO-ATLANTICA S.A.;FER C ATLANT;VSPT
FERTILIZANTES HERINGER S.A.;FER HERINGER;FHER
FGR URBANISMO BELEM S.A. - SPE;FGRURBANISMO;FGRU
FIASUL INDÚSTRIA DE FIOS LTDA.;FIASUL IND;FIOS
FIBRASIL INFRAESTRUTURA E FIBRA ÓTICA S.A.;FIBRASIL SA;FBRI
FINANCEIRA ALFA S.A.- CRED FINANC E INVS;ALFA FINANC;CRIV
FINANSINOS S.A.- CREDITO FINANC E INVEST;FINANSINOS;FNCN
FIRST TRUST CAPITAL STRENGTH ETF;FT CAPSTRENG;BFTS
FIRST TRUST CLOUD COMPUTING ETF;FT CLOUD CPT;BKYY
FIRST TRUST DOW JONES INTERNET INDEX FUND;FT DJ INTERN;BFDN
FIRST TRUST HEALTH CARE ALPHADEX FUND;FT HCAREALPH;BFXH
FIRST TRUST INTERNATIONAL EQUITY OPPORTUNITIES ETF;FT INTL EQOP;BFPI
FIRST TRUST LARGE CAP GROWTH ALPHADEX FUND;FT LCAPGROW;BFTC
FIRST TRUST MORNINGSTAR DIVIDEND LEADERS INDEX;FTMOR DV LEA;BFDL
FIRST TRUST NASDAQ CLEAN EDGE GREEN ENERGY INDEX;FT NSQ GREEN;BQCL
FIRST TRUST NASDAQ CYBERSECURITY ETF;FT NASDCYBER;BCIR
FIRST TRUST NASDAQ-100 EQUAL WEIGHTED INDEX FUND;FT NASD100EQ;BQQW
FIRST TRUST NASDAQ-100-TECHNOLOGY SECTOR INDEX;FT NASD100TC;BQTC
FIRST TRUST NATURAL GAS ETF;FT NAT GAS;BFCG
FIRST TRUST NYSE ARCA BIOTECHNOLOGY INDEX FUND;FT NYSE BIOT;BFBI
FIRST TRUST RISING DIVIDEND ACHIEVERS ETF;FT RISIDIVID;BFDA
FIRST TRUST TECHNOLOGY ALPHADEX FUND;FT TECH ALPH;BFTA
FIRST TRUST US EQUITY OPPORTUNITIES ETF;FT EQ OPPORT;BFPX
FIRST TRUST VALUE LINE DIVIDEND INDEX FUND;FT VLINE DIV;BFVD
FITESA S/A;FITESASA;FITE
FLAFLU PARTICIPACOES S.A.;FLAFLU;FFLU
FLEURY S.A.;FLEURY;FLRY
FLEX GESTÃO DE RELACIONAMENTOS S.A.;FLEX S/A;FLEX
FOLHA LARGA 1 HOLDING S.A.;FOLHALARGA I;FLHA
FONTE NOVA NEGOCIOS E PARTICIPACOES S.A. - FNP;FONTENOVA;FNTE
FORCA EOLICA DO BRASIL S.A.;FORCAEOLICA;FELC
FORNO DE MINAS ALIMENTOS S.A.;FORNODEMINAS;FOMS
FORTBRAS AUTOPECAS S/A;FORTBRAS AUT;FOAU
FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S;FORTBRASIL;FRTB
FORTBRASIL SECURITIZADORA S.A.;FORTBRASIL S;FOBR
FORTUNA COMERCIO S.A;FORTUNA;TFCM
FOSPAR S.A.;FOSPAR;FSPR
FOZ CENTRO NORTE S/A;FOZ;FOZC
FOZ DO CHAPECÓ ENERGIA S.A.;FOZDOCHAPECO;FZCH
FOZ DO RIO CLARO ENERGIA S.A.;FOZDORIOCLAR;FZRC
FRANCISCO DE SA II GERACAO DE ENERGIA S/A;FRANCISCO SA;FRCS
FRAPORT BRASIL S/A AEROPORTO DE PORTO ALEGRE;FRAPORTBR;FRPR
FRAS-LE S.A.;FRAS-LE;FRAS
FROOTY COMERCIO E INDUSTRIA DE ALIMENTOS S.A.;FROOTY;FRTY
FS AGRISOLUTIONS INDUSTRIA DE BIOCOMBUSTIVEIS LTDA;FSAGRO;FSAI
FS TRANSMISSORA DE ENERGIA ELÉTRICA S.A.;FS TRANSMISS;TRFS
FURNAS - CENTRAIS ELETRICAS S.A.;FURNAS;FURN
FYP EMPREENDIMENTOS IMOBILIARIOS S/A;FYP;FYPE
G2D Investments Ltd;G2D INVEST;G2DI
G5 HOLDING S.A.;G5 HOLDING S;G5HO
GAFISA S.A.;GAFISA;GFSA
GAIA CRED II COMPANHIA SECURITIZADORA DE CREDITOS;GAIACREDIISE;GCII
GAIA CRED III COMPANHIA SECURITIZADORA DE CREDITOS;GAIACREDIIIS;GCRD
GAIA CRED IV COMPANHIA SECURITIZADORA DE CREDITOS;GAIACREDIVSE;GCIV
GAIA IMPACTO SECURITIZADORA S.A.;GAIA AGRO;GAFL
GAIA IMPACTO VIVENDA SECURITIZ DE CRED FINANC S.A.;GAIAIMPACTOV;GIVS
GALILEO GESTORA DE RECEBIVEIS SPE S/A;GALILEOSA;GALE
GALVAO PARTICIPACOES S/A;GALVAOPART;GLVP
GAMA PARTICIPACOES S.A.;GAMA PART;OPGM
GAMELEIRA GERADORA DE ENERGIA RENOVÁVEL S.A.;GAMELEIRA GE;GMLR
GAREN AUTOMACAO S/A;GAREN;GARN
GAS VERDE S/A;GASVERDE;GASV
GASTER PARTICIPACOES S.A.;GASTERPART;GSTE
GAZIN HOLDING S.A.;GAZINHOLDING;GZHD
GAZIN IND E COME DE MOVEIS E ELETRODOMESTICOS LTDA;GAZIN INDCOM;GAZN
GBS PARTICIPACOES S.A.;GBS PARTICIP;GBSP
GBX TIETE II EMPREENDIMENTOS E PARTICIPACOES S.A.;GBXTIETE;GBXT
GDM GENETICA DO BRASIL S A;GDM GENETICA;GDMG
GDPAR GDSOLAR Part. em Projetos Solares S.A;GDPARGDSOLAR;GDSL
GENERAL ELECTRIC CAPITAL DO BRASIL LTDA.;GE CAPITALBR;GNEC
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.;GENERALSHOPP;GSHP
GERA AMAZONAS GERADORA ENERGIA AMAZONAS SA;GERAAMAZONAS;GAMZ
GERACAO CEU AZUL S/A;CEUAZUL;GCEU
GERACAO BIOMASSA VISTA ALEGRE I S.A;VISTAALEGRE;EBVA
GERADORA EÓLICA BONS VENTOS DA SERRA 2 S.A.;BONSVENTOS;GEBV
GERADORA EOLICA BONS VENTOS DA SERRA I SA.;VENTOSDASERR;GLIC
GERDAU S.A.;GERDAU;GGBR
GESTAMP EOLICA AGRESTE S.A.;AGRESTE;GEAG
GESTAMP EOLICA ALVORADA S.A.;ALVORADA;GEEA
GESTAMP EOLICA JARDINS S.A.;JARDINS;GEEJ
GESTAMP EOLICA MACAMBIRA I S.A.;MACAMBIRAI;GEEM
GESTAMP EOLICA MACAMBIRA II S.A.;MACAMBIRAII;GMCB
GESTAMP EOLICA SERIDO S.A.;SERIDO;SRDO
GESTORA INTELIGENCIA DE CREDITO S.A.;GESTORA CRED;GECR
GETNET ADQ. E SERV MEIOS DE PGTO S.A - INST PGTO.;GETNET BR;GETT
GETNINJAS S.A.;GETNINJAS;NINJ
GGSH PARTICIPACOES S.A;GGSH;GGSH
GIOVANNI SANGUINETTI TRANSMISSORA DE ENERGIA S.A.;GIOVANNIENER;GIOS
GIRASSOL AGRICOLA LTDA;GIRASSOLAGRI;GRSS
GJA INDUSTRIAS S/A;GJAINDUSTRIA;GJAI
GLOBAL X AUTONOMOUS & ELECTRIC VEHICLES ETF;GX AEVEHICLE;BDRI
GLOBAL X CLOUD COMPUTING ETF;GX CLOUD CPT;BCLO
GLOBAL X COPPER MINERS ETF;GX COPPER MN;BCPX
GLOBAL X CYBERSECURITY ETF;GX CYBERSECT;BBUG
GLOBAL X FINTECH ETF;GX FINTECH;BFNX
GLOBAL X LITHIUM & BATTERY TECH ETF;GX LITHIUM B;BLBT
GLOBAL X MLP & ENERGY INFRASTRUCTURE ETF;GX MLP EN IN;BLPX
GLOBAL X MLP ETF;GX MLP ETF;BLPA
GLOBAL X MSCI CHINA CONSUMER DISCRETIONARY ETF;GX MSCICHINA;BCHQ
GLOBAL X NASDAQ 100 COVERED CALL ETF;GX NASDAQ100;BQYL
GLOBAL X ROBOTICS & ARTIFICIAL INTELLIGENCE ETF;GX ROBOTC AI;BOTZ
GLOBAL X SILVER MINERS ETF;GX SILVER MN;BSIL
GLOBAL X SOCIAL MEDIA ETF;GX SOCIAL MD;BSOC
GLOBAL X SUPERDIVIDEND ETF;GX SUPERDIVD;BSDV
GLOBAL X SUPERDIVIDEND US ETF;GX SUPDIV US;BDVD
GLOBAL X TELEMEDICINE & DIGITAL HEALTH ETF;GX TLMEDC DH;BEDC
GLOBAL X URANIUM ETF;GX URANIUM;BURA
GLOBAL X US INFRASTRUCTURE DEVELOPMENT ETF;GX INFRA DEV;BPVE
GLOBAL X VIDEO GAMES & ESPORTS ETF;GX GAMES SPT;BHER
GLOBO COMUNICACOES E PARTICIPACOES S/A;GLOBOCOMUNIC;GLBO
GLP I PARTICIPACOES S.A.;GLPIPARTICIP;GLPI
GLP IMIGRANTES EMPREENDIMENTOS IMOBILIÁRIOS S.A.;GLP IMIGRANT;GLFG
GLP O PARTICIPACOES S/A;GLP O PARTIC;GLPO
GLP X PARTICIPAÇÕES S.A.;GLP X PARTIC;GLPX
GMR ENERGIA S.A.;GMRENERGIA;GMRE
GOIÁS GERADORA DE ENERGIA RENOVÁVEL S.A.;GOIAS GERADO;GGEN
GOIÁS TRANSMISSÃO S.A.;GOIÁS TRANSM;GTSA
GOL LINHAS AEREAS INTELIGENTES S.A.;GOL;GOLL
GOLAR POWER BRASIL PARTICIPACOES SA.;GOLARPOWERBR;GLRP
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S/A;GOLDMANSACHS;GSBR
GOLF VILLAGE EMPREENDIMENTOS IMOBILIARIOS S/A;GOLFVILLAGE;GLFV
GOOD FOOD COMERCIO DE ALIMENTOS S/A;GOODFOOD;GFCA
GP INVESTMENTS. LTD.;GP INVEST;GPIV
GPS PARTICIPACOES E EMPREENDIMENTOS S.A.;GPS;GGPS
GRAAL PARTICIPACOES S.A.;GRAAL PARTIC;GRPS
GRANINVESTIMENTOS S/A;GRANINV;GRAI
GRANJA FARIA S.A.;GRANJA FARIA;GFFA
GRANSOL TERMINAIS MARÍTIMOS S.A.;GRANSOL TERM;GRNS
GRAZZIOTIN S.A.;GRAZZIOTIN;CGRA
GREENBRIER MAXION EQUIPAMENTOS E SERVIÇOS FERROVIÁ;GREENBRIER M;GRMX
GREENYELLOW PERFORMANCE ENERGETICA S.A.;GREENYELLOWP;GRPE
GRENDENE S.A.;GRENDENE;GRND
GRUA INVESTIMENTOS S.A.;GRUAINVEST;AEGE
GRUPO BIG BRASIL S.A.;GRUPO BIG BR;BIGG
GRUPO DE MODA SOMA S.A.;GRUPO SOMA;SOMA
GRUPO MATEUS S.A.;GRUPO MATEUS;GMAT
GRUPO PEREIRA S.A.;GRUPOPEREIRA;GPER
GRUPO SBF SA;GRUPO SBF;SBFG
GS INIMA INDUSTRIAL S/A;GS INIMA IND;GSII
GSP PROPERTIES SPE S.A.;GSPSPE;GSPP
GSP LIFE MAIRINQUE EMPREENDIMENTOS IMOBILIARIOS S.;GSPLIFE;GSPM
GUANHAES ENERGIA S/A;GUANHAES;GNHE
GUARACIABA TRANSMISSORA DE ENERGIA TP SUL SA;GUARACIABA;TPSU
GUARARAPES CONFECCOES S.A.;GUARARAPES;GUAR
GUARUPART PARTICIPAÇÕES LTDA.;GUARUPART;GPPL
GUASSUPI PARTICIPAÇÕES S.A.;GUASSUPI;GUPT
GUIMARANIA I SOLAR SPE S.A.;GUIMARANIA I;GMAI
GUIMARANIA II SOLAR SPE S.A.;GUIMARANIAII;GMRN
HAGA S.A. INDUSTRIA E COMERCIO;HAGA S/A;HAGA
HAITONG BANCO DE INVESTIMENTO DO BRASIL S/A;HAITONGBI;INTL
HALEX ISTAR INDUSTRIA FARMACEUTICA S.A.;HALEXISTARIN;HALE
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA;HAPVIDA;HAPV
HAVAN S.A.;HAVAN LOJAS;HVAN
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A;HBR REALTY;HBRE
HEINZ BRASIL S/A;HEINZBR;HENZ
HELBOR EMPREENDIMENTOS S.A.;HELBOR;HBOR
HELIO BORENSTEIN S/A ADMINISTRACAO PARTICIPACOES E;HELIOBORENST;HLIO
HELIO VALGAS SOLAR PARTICIPACOES S.A.;HELIO VALGAS;HVSP
HELIUS CAPITAL GESTÃO DE RECURSOS S.A.;HELIUS CAPIT;HECG
HERBARIUM LABORATORIO BOTANICO LTDA.;HERBARIUMLAB;HERB
HERCULES S.A. FABRICA DE TALHERES;HERCULES;HETA
HIDRELETRICA FOCKINK S.A.;FOCKINK SA;HFCK
HIDROVIAS DO BRASIL S.A.;HIDROVIAS;HBSA
HIGHLINE BRASIL II INFRAESTRUTURA TELECOMUNICACOES;HIGHLINE BRA;HGLB
HIPERCARD BANCO MULTIPLO S/A;HIPERCARDBM;UNET
HMOBI PARTICIPAÇÕES S.A.;HMOBI S.A;HMOB
Holding do Araguaia S.A;HOLDING DO A;HARG
HONDA LEASING S/A ARREND. MERCANTIL;HONDAAM;HDLS
HORTIGIL HORTIFRUTI S.A.;HORTIGIL;HORT
HOSPITAL ESPERANCA S/A;ESPERANCA;HSPE
HOSPITAL MATER DEI S/A;MATER DEI;MATD
HOTEIS OTHON S.A.;HOTEIS OTHON;HOOT
HS INVESTIMENTOS S.A.;HSINVESTIMEN;HSIV
HTL SP PARTICIPACOES S.A.;HTLSPPART;HTLS
HUMAITÁ GERAÇÃO DE ENERGIA E PARTICIPAÇÕES S.A.;HUMAITA GERA;HGEP
HUMBERG AGRIBRASIL COM. E EXPORT. DE GRÃOS S.A.;AGRIBRASIL;GRAO
HYPERA S.A.;HYPERA;HYPE
IBC Empreendimentos e Participacoes S.A.;IBCEMPEPARTI;IBCP
IBI BRASIL EMPREENDIMENTOS E PARTICIPACOES S.A.;IBIBRASIL;IBIB
ICATU ASSESSORIA S/A;ICATU ASSESS;IATU
ICATU CONSULTORIA DE INVESTIMENTOS S.A.;ICATUCONSULT;ICCI
IDIBRA PARTICIPACOES S.A;IDIBRA;IDRA
IFIN PARTICIPAÇÕES S.A.;IFIN PARTICI;IFPT
IGB ELETRÔNICA S/A;IGB S/A;IGBR
IGUÁ RIO DE JANEIRO S.A.;IGUÁ RIO DE;IRJS
IGUA SANEAMENTO S.A.;IGUA SA;IGSN
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A;IGUATEMI;IGTA
IGUATEMI S.A.;IGUATEMI S.A;IGTI
IMPAR SERVICOS HOSPITALARES S/A;IMPAR SERVIC;IMPA
INDUSTRIA QUIMICA KIMBERLIT LTDA;KIMBERLIT;KMLT
INDUSTRIAS DUREINO S.A.;IND DUREINO;IDNO
INEPAR S.A. INDUSTRIA E CONSTRUCOES;INEPAR;INEP
INFRA 6 PARTICIPAÇÕES S.A.;INFRA 6 PART;INPT
INFRACOMMERCE CXAAS S.A.;INFRACOMM;IFCM
INFRAESTRUTURA BRASIL HOLDING I S/A;INFRABR HOLD;INBH
INFRAESTRUTURA BRASIL HOLDING II S.A.;INFRA BR II;IFBH
INFRAESTRUTURA BRASIL HOLDING IV S.A.;INFRABRASIL;IBHQ
INFRAESTRUTURA BRASIL HOLDING IX;INFRAESTRUTU;HLIX
INFRAESTRUTURA BRASIL HOLDING XIX S.A.;BR HOLD XIX;IFBD
INFRAESTRUTURA BRASIL HOLDING XVI S.A.;BR HOLD XVI;IXVI
INFRAESTRUTURA BRASIL HOLDING XVII S.A.;BR HOLD XVII;XVII
INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILI;INFRAMERICA;IRAB
Inova Saude Sao Paulo SPE S.A.;INOVASAUDESP;INSV
Inova Saude Sorocaba SPE S.A.;INOVA SAUDE;INSR
INPASA AGROINDUSTRIAL S.A.;INPASA AGRO;INPS
INSPIRA MUDANÇA PARTICIPAÇÕES S/A;INSPIRA PART;INMP
INSPIRALI EDUCACAO S.A.;INSPIRALI SA;INEL
INSTITUTO HERMES PARDINI S.A.;IHPARDINI;PARD
INTEGRACAO MARANHENSE TRANSMISSORA DE ENERGIA S.A.;MARAENERGIA;MARH
INTEGRAÇÃO TRANSMISSORA DE ENERGIA S.A;INTEGTRANS;ITGT
